Comment,Designator,Description,Quantity,Digikey,Digikey Link,MF,MP,Package,Rating

"270","R21","RES SMD 270 OHM 5% 1/8W 0805","1","311-270ARCT-ND","https://www.digikey.ca/product-detail/en/yageo/RC0805JR-07270RL/311-270ARCT-ND/731238","Yageo","RC0805JR-07270RL","0805","0.125W"
"150k","R9","RES SMD 150K OHM 1% 1/8W 0805","1","311-150KCRCT-ND","https://www.digikey.ca/products/en?keywords=311-150KCRCT-ND","Yageo","RC0805FR-07150KL","0805","0.125W"
"110","R22","RES SMD 110 OHM 1% 1/8W 0805","1","311-110CRCT-ND","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07110RL/311-110CRCT-ND/730506","Yageo","RC0805FR-07110RL","0805","0.125W"
"100k","R8","RES SMD 100K OHM 1% 1/8W 0805","1","311-100KCRCT-ND","https://www.digikey.ca/products/en?keywords=311-100KCRCT-ND","Yageo","RC0805FR-07100KL","0805","0.125W"
"20mOhm","R7","RES 0.02 OHM 1% 1/2W 0805","1","P.02AQCT-ND","https://www.digikey.ca/products/en?keywords=P.02AQCT-ND","Panasonic Electronic Components","ERJ-6BWFR020V","0805","0.5W"
"10k","R10","RES SMD 10K OHM 1% 1/8W 0805","1","311-10.0KCRCT-ND","https://www.digikey.ca/products/en?keywords=311-10.0KCRCT-ND","Yageo","RC0805FR-0710KL","0805","0.125W"
"5.1k","R11, R13, R14","RES SMD 5.1K OHM 1% 1/8W 0805","3","311-5.10KCRDKR-ND","https://www.digikey.ca/products/en?keywords=311-5.10KCRDKR-ND","Yageo","RC0805FR-075K1L","0805","0.125W"
"1.96K","R20","RES SMD 1.96K OHM 1% 1/8W 0805","1","P1.96KCCT-ND","https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-6ENF1961V/P1.96KCCT-ND/119041","Panasonic Electronic Components","ERJ-6ENF1961V","0805","0.125W"
"0 Ohm","R1, R2, R3, R4, R5, R6, R19","RES SMD 0 OHM JUMPER 1/8W 0805","7","311-0.0ARCT-ND","https://www.digikey.ca/products/en?keywords=311-0.0ARCT-ND","Yageo","RC0805JR-070RL","0805","0.125W"
"47k","R12","47 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film","1","311-47.0KCRCT-ND","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0747KL/311-47.0KCRCT-ND/730920","Yageo","RC0805FR-0747KL","0805 (2012 Metric)",""
"A3931","U1","IC MOTOR DRIVER 5.5V-50V 48LQFP","1","620-1290-1-ND","https://www.digikey.com/product-detail/en/allegro-microsystems-llc/A3931KJPTR-T/620-1290-1-ND/2000021","Allegro MicroSystems","A3931KJPTR-T","","5.5V ~ 50V"
"Motor Molex Connector","J1","Connector Header Through Hole 8 position 0.165" (4.20mm)","1","WM3803-ND","https://www.digikey.ca/products/en?keywords=WM3803-ND","Molex","0039281083","",""
"N-Channel","Q1, Q2, Q3, Q4, Q5, Q6","MOSFET N-CH 30V 18.5A 8-SOIC","6","FDS8813NZCT-ND","https://www.digikey.ca/product-detail/en/on-semiconductor/FDS8813NZ/FDS8813NZCT-ND/1626932","ON Semiconductor","FDS8813NZ","8-SOIC","30V"
"LED2","D1, D2, D3","Typical RED, GREEN, YELLOW, AMBER GaAs LED","3","160-1446-1-ND","https://www.digikey.ca/products/en?keywords=160-1446-1-ND","Lite-On Inc.","LTST-C191KGKT","0603","2V"
"EMI","U4, U6, U7, U8, U9, U10, U11","RC (Pi) EMI Filter 2nd Order Low Pass 2 Channel R = 100Ohms, C = 19pF (Total)  SOT-665","7","1727-4718-1-ND","https://www.digikey.ca/product-detail/en/nexperia-usa-inc/IP4256CZ5-W115/1727-4718-1-ND/2531158","Nexperia USA Inc.","IP4256CZ5-W,115","SOT-665",""
"Header 12","P3","Header, 12-Pin","1","","","","","",""
"Header 6","P2","Header, 6-Pin","1","","","","","",""
"Header 4","P4","Header, 4-Pin","1","","","","","",""
"Fuse 10A 1206","F1, F2, F3","10A 32V AC 63V DC Fuse Board Mount (Cartridge Style Excluded) Surface Mount 1206 (3216 Metric)","3","486-1686-1-ND","https://www.digikey.ca/products/en?keywords=486-1686-1-ND","Schurter Inc.","3413.0328.22","","10A"
"Encoder","U2","CONN HEADER R/A 4POS 1.5MM","1","455-1671-ND","https://www.digikey.ca/products/en?keywords=455-1671-ND","JST Sales America Inc.","S4B-ZR(LF)(SN)","N/A","1A"
"CONN HEADER VERT 6POS 3.96MM","JM","Connector Header Through Hole 6 position 0.156" (3.96mm)","1","https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/1877285-6/A99849-ND/2000097","A99849-ND","TE Connectivity","1877285-6","",""
"100nF","C7","CAP CER 0.1UF 50V X7R 0805","1","311-1140-1-ND","https://www.digikey.ca/products/en?keywords=311-1140-1-ND","Yageo","CC0805KRX7R9BB104","0805","50V"
"82nF","C1, C2, C3","0.082µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)","3","311-4285-1-ND","https://www.digikey.ca/product-detail/en/yageo/CC0805JRX7R9BB823/311-4285-1-ND/8025374","Yageo","CC0805JRX7R9BB823","0805","50V"
"1uF","C4, C5, C6, C8","CAP CER 1UF 50V X7R 0805","4","1276-1029-1-ND","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNNNE/1276-1029-1-ND/3889115","Samsung Electro-Mechanics","CL21B105KBFNNNE","0805","50V"
"1nF","C9","CAP CER 1000PF 50V X7R 0805","1","311-1127-1-ND","https://www.digikey.ca/products/en?keywords=311-1127-1-ND","Yageo","CC0805KRX7R9BB102","0805","50V"
